"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C1, C2";"C_Disc_D5.0mm_W2.5mm_P5.00mm";2;"5u";;;
2;"D2, D3, D4, D5, D6, D7, D8, D9";"LED_D5.0mm";8;"LED";;;
3;"J1";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02";;;
4;"Q1, Q2";"TO-92L_Inline_Wide";2;"Q_NPN_BCE";;;
5;"R1, R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"500";;;
6;"R2, R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"1k";;;
7;"R5, R6";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"100";;;
8;"SW1, SW2";"SW_PUSH_6mm";2;"SW_SPST";;;
